Fecha_creación,Id_Tweet,Usuario,ReTweets,Texto
2021-07-23 22:00:28,1418692514685628419,PP provincia de Lugo,5,RT @elprogreso_Lugo: #Coronavirus 🧪 La Xunta ofrecerá este sábado test antígenos en las siete ciudades gallegas  👉 El punto en Lugo estará…
2021-07-23 21:39:43,1418687294681370624,Sanidade Xunta,5,RT @elprogreso_Lugo: #Coronavirus 🧪 La Xunta ofrecerá este sábado test antígenos en las siete ciudades gallegas  👉 El punto en Lugo estará…
2021-07-23 19:30:29,1418654771620323330,Led DarkLight,15511,RT @norcoreano: Actualización casos #coronavirus en Corea del Norte:  08:00: 1  08:10: 0  09:23: 1  09:30: 0  11:58: 1  12:04: 0  16:13: 1…
2021-07-23 18:34:50,1418640768244326406,Edu BM,15511,RT @norcoreano: Actualización casos #coronavirus en Corea del Norte:  08:00: 1  08:10: 0  09:23: 1  09:30: 0  11:58: 1  12:04: 0  16:13: 1…
2021-07-23 17:46:34,1418628620126408709,Feminista Vallenata,2,RT @ijnetEs: ¿Por qué Sudamérica quedó acorralada por el coronavirus? Te invitamos a este seminario web para periodistas que organizan @Con…
2021-07-23 17:42:34,1418627613023682572,CONNECTAS,2,RT @ijnetEs: ¿Por qué Sudamérica quedó acorralada por el coronavirus? Te invitamos a este seminario web para periodistas que organizan @Con…
2021-07-23 17:32:00,1418624953117708290,IJNet en Español,2,¿Por qué Sudamérica quedó acorralada por el coronavirus? Te invitamos a este seminario web para periodistas que org… https://t.co/jEBo0esxPy
2021-07-23 16:45:40,1418613295418912768,José Ferreiro,5,RT @elprogreso_Lugo: #Coronavirus 🧪 La Xunta ofrecerá este sábado test antígenos en las siete ciudades gallegas  👉 El punto en Lugo estará…
2021-07-23 16:37:36,1418611265023496192,Mateo,5,RT @elprogreso_Lugo: #Coronavirus 🧪 La Xunta ofrecerá este sábado test antígenos en las siete ciudades gallegas  👉 El punto en Lugo estará…
2021-07-23 16:31:15,1418609667417296896,El Progreso de Lugo,5,#Coronavirus 🧪 La Xunta ofrecerá este sábado test antígenos en las siete ciudades gallegas  👉 El punto en Lugo esta… https://t.co/j91O2eu7oi
2021-07-24 16:31:15,1418609667417296896,El Progreso de Lugo,5,#Coronavirus 🧪 La Xunta ofrecerá este sábado test antígenos en las siete ciudades gallegas  👉 El punto en Lugo esta… https://t.co/j91O2eu7oi
